n,n_w,p,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,200,5000,0.05,3.0,8.688181818181818,0.08432769826956443,0.7274266432818692
7500,200,5000,0.05,3.0,8.789090909090909,0.08435073348510763,0.7275421860609089
7500,200,5000,0.05,3.0,8.889999999999999,0.08437355706055524,0.7276565634742719
7500,200,5000,0.05,3.0,8.99090909090909,0.08439617165548008,0.7277697908068834
7500,200,5000,0.05,3.0,9.091818181818182,0.08441857988671761,0.7278818830913589
7500,200,5000,0.05,3.0,9.192727272727272,0.0844407843292074,0.7279928551130788
7500,200,5000,0.05,3.0,9.293636363636365,0.08446278751681482,0.7281027214151464
7500,200,5000,0.05,3.0,9.394545454545456,0.08448459194313342,0.7282114963032258
7500,200,5000,0.05,3.0,9.495454545454544,0.08450620006226896,0.728319193850264
7500,200,5000,0.05,3.0,9.596363636363636,0.08452761428960495,0.7284258279011058
7500,200,5000,0.05,3.0,9.697272727272727,0.08454883700255092,0.7285314120769938
7500,200,5000,0.05,3.0,9.798181818181815,0.08456987054127321,0.7286359597799688
7500,200,5000,0.05,3.0,9.899090909090908,0.08459071720940924,0.728739484197161
7500,200,5000,0.05,3.0,10.0,0.08461137927476542,0.7288419983049911
7500,200,5000,0.5,0.5,0.01,0.41217734423192454,0.7680066450091378
7500,200,5000,0.5,0.5,0.1109090909090909,0.4124432173676064,0.7683289877870125
7500,200,5000,0.5,0.5,0.2118181818181818,0.4127052800770188,0.7686463259251167
7500,200,5000,0.5,0.5,0.3127272727272727,0.4129636053621405,0.7689587593757223
7500,200,5000,0.5,0.5,0.4136363636363636,0.41321826443757487,0.7692663855738106
7500,200,5000,0.5,0.5,0.5145454545454545,0.41346932678451226,0.7695692995148167
7500,200,5000,0.5,0.5,0.6154545454545455,0.4137168602027354,0.769867593829492
7500,200,5000,0.5,0.5,0.7163636363636363,0.4139609308607559,0.7701613588560128
7500,200,5000,0.5,0.5,0.8172727272727273,0.41420160334415607,0.7704506827094578
7500,200,5000,0.5,0.5,0.9181818181818182,0.4144389407022156,0.7707356513487719
7500,200,5000,0.5,0.5,1.019090909090909,0.4146730044928909,0.7710163486413147
7500,200,5000,0.5,0.5,1.12,0.41490385482621894,0.7712928564251026
7500,200,5000,0.5,0.5,1.220909090909091,0.4151315504062053,0.7715652545688376
7500,200,5000,0.5,0.5,1.3218181818181818,0.41535614857126524,0.7718336210298155
7500,200,5000,0.5,0.5,1.4227272727272726,0.41557770533326954,0.7720980319097991
7500,200,5000,0.5,0.5,1.5236363636363637,0.4157962754152568,0.7723585615089508
7500,200,5000,0.5,0.5,1.6245454545454543,0.416011912287862,0.772615282377884
7500,200,5000,0.5,0.5,1.7254545454545454,0.4162246682045141,0.7728682653679285
7500,200,5000,0.5,0.5,1.8263636363636364,0.41643459423545187,0.7731175796796744
7500,200,5000,0.5,0.5,1.9272727272727272,0.41664174030060297,0.7733632929098604
7500,200,5000,0.5,0.5,2.028181818181818,0.41684615520137147,0.7736054710966768
7500,200,5000,0.5,0.5,2.129090909090909,0.4170478866513763,0.7738441787635449
7500,200,5000,0.5,0.5,2.2299999999999995,0.41724698130618093,0.7740794789614325
7500,200,5000,0.5,0.5,2.3309090909090906,0.41744348479205345,0.7743114333097623
7500,200,5000,0.5,0.5,2.4318181818181817,0.4176374417337924,0.7745401020359679
7500,200,5000,0.5,0.5,2.5327272727272723,0.4178288957816568,0.7747655440137496
7500,200,5000,0.5,0.5,2.6336363636363638,0.41801788963743025,0.7749878168000818
7500,200,5000,0.5,0.5,2.7345454545454544,0.4182044650796561,0.7752069766710149
7500,200,5000,0.5,0.5,2.835454545454545,0.4183886629880694,0.7754230786563211
