n,n_w,p,df,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,3.0,0.05,3.0,3.1381818181818177,0.024785710797135076,1.573259633924288
7500,1000,5000,3.0,0.05,3.0,3.239090909090909,0.024804939199527275,1.5734937428483393
7500,1000,5000,3.0,0.05,3.0,3.34,0.02482296492856762,1.573723953102546
7500,1000,5000,3.0,0.05,3.0,3.4409090909090905,0.02483988615337436,1.5739503152396308
7500,1000,5000,3.0,0.05,3.0,3.541818181818181,0.024855791139767717,1.5741728769345544
7500,1000,5000,3.0,0.05,3.0,3.6427272727272726,0.024870759439802596,1.5743916843595251
7500,1000,5000,3.0,0.05,3.0,3.743636363636363,0.024884862915797595,1.5746067831441803
7500,1000,5000,3.0,0.05,3.0,3.8445454545454543,0.024898166624984886,1.5748182190272584
7500,1000,5000,3.0,0.05,3.0,3.945454545454545,0.024910729586301382,1.5750260382798862
7500,1000,5000,3.0,0.05,3.0,4.046363636363636,0.024922605447133418,1.575230287960735
7500,1000,5000,3.0,0.05,3.0,4.147272727272727,0.024933843064821402,1.5754310160485274
7500,1000,5000,3.0,0.05,3.0,4.248181818181818,0.0249444870152851,1.5756282714861567
7500,1000,5000,3.0,0.05,3.0,4.349090909090909,0.024954578039129517,1.5758221041622125
7500,1000,5000,3.0,0.05,3.0,4.449999999999999,0.024964153433947395,1.5760125648492598
7500,1000,5000,3.0,0.05,3.0,4.550909090909091,0.02497324740017757,1.5761997051134242
7500,1000,5000,3.0,0.05,3.0,4.651818181818181,0.02498189134675526,1.5763835772060142
7500,1000,5000,3.0,0.05,3.0,4.752727272727272,0.02499011416185553,1.5765642339452364
7500,1000,5000,3.0,0.05,3.0,4.853636363636364,0.02499794245325091,1.5767417285937668
7500,1000,5000,3.0,0.05,3.0,4.954545454545454,0.02500540076215029,1.576916114736477
7500,1000,5000,3.0,0.05,3.0,5.055454545454545,0.025012511753837313,1.5770874461612165
7500,1000,5000,3.0,0.05,3.0,5.156363636363636,0.025019296387962502,1.5772557767447926
7500,1000,5000,3.0,0.05,3.0,5.257272727272727,0.025025774070951662,1.5774211603454136
7500,1000,5000,3.0,0.05,3.0,5.3581818181818175,0.025031962792660213,1.5775836507024859
7500,1000,5000,3.0,0.05,3.0,5.459090909090909,0.025037879249120088,1.5777433013441733
7500,1000,5000,3.0,0.05,3.0,5.56,0.025043538952984064,1.577900165502885
7500,1000,5000,3.0,0.05,3.0,5.66090909090909,0.025048956333065753,1.5780542960386172
7500,1000,5000,3.0,0.05,3.0,5.761818181818182,0.025054144824196035,1.578205745369957
7500,1000,5000,3.0,0.05,3.0,5.862727272727272,0.025059116948464077,1.5783545654124653
7500,1000,5000,3.0,0.05,3.0,5.963636363636363,0.025063884388779566,1.5785008075240077
7500,1000,5000,3.0,0.05,3.0,6.064545454545455,0.025068458055579196,1.5786445224566967
7500,1000,5000,3.0,0.05,3.0,6.165454545454545,0.025072848147401523,1.5787857603149527
7500,1000,5000,3.0,0.05,3.0,6.266363636363636,0.02507706420596999,1.5789245705192734
7500,1000,5000,3.0,0.05,3.0,6.367272727272727,0.025081115166347628,1.5790610017752722
7500,1000,5000,3.0,0.05,3.0,6.468181818181818,0.025085009402664272,1.5791951020475437
7500,1000,5000,3.0,0.05,3.0,6.569090909090908,0.025088754769858928,1.5793269185379786
7500,1000,5000,3.0,0.05,3.0,6.67,0.025092358641831247,1.5794564976680978
7500,1000,5000,3.0,0.05,3.0,6.7709090909090905,0.025095827946352057,1.5795838850650694
7500,1000,5000,3.0,0.05,3.0,6.871818181818181,0.02509916919704557,1.5797091255510625
7500,1000,5000,3.0,0.05,3.0,6.972727272727273,0.025102388522721175,1.5798322631355781
7500,1000,5000,3.0,0.05,3.0,7.073636363636363,0.02510549169430427,1.5799533410105089
7500,1000,5000,3.0,0.05,3.0,7.174545454545454,0.02510848414958881,1.5800724015476213
7500,1000,5000,3.0,0.05,3.0,7.275454545454545,0.02511137101601113,1.5801894862981993
7500,1000,5000,3.0,0.05,3.0,7.376363636363636,0.02511415713162486,1.580304635994636
7500,1000,5000,3.0,0.05,3.0,7.477272727272727,0.02511684706443733,1.5804178905537387
7500,1000,5000,3.0,0.05,3.0,7.578181818181818,0.02511944513025326,1.5805292890815728
7500,1000,5000,3.0,0.05,3.0,7.679090909090909,0.025121955409155877,1.580638869879622
7500,1000,5000,3.0,0.05,3.0,7.779999999999999,0.0251243817607436,1.5807466704521613
7500,1000,5000,3.0,0.05,3.0,7.880909090909091,0.02512672783822893,1.580852727514639
7500,1000,5000,3.0,0.05,3.0,7.981818181818181,0.02512899710149562,1.5809570770029613
7500,1000,5000,3.0,0.05,3.0,8.082727272727272,0.025131192829201517,1.581059754083544
7500,1000,5000,3.0,0.05,3.0,8.183636363636364,0.02513331813000615,1.5811607931640346
7500,1000,5000,3.0,0.05,3.0,8.284545454545453,0.02513537595299476,1.5812602279045893
7500,1000,5000,3.0,0.05,3.0,8.385454545454545,0.02513736909736401,1.5813580912296124
7500,1000,5000,3.0,0.05,3.0,8.486363636363636,0.025139300221428563,1.581454415339899
7500,1000,5000,3.0,0.05,3.0,8.587272727272726,0.025141171851002703,1.5815492317250879
7500,1000,5000,3.0,0.05,3.0,8.688181818181818,0.025142986387205878,1.581642571176337
7500,1000,5000,3.0,0.05,3.0,8.789090909090909,0.025144746113737338,1.5817344637992385
7500,1000,5000,3.0,0.05,3.0,8.889999999999999,0.02514645320366049,1.5818249390268222
7500,1000,5000,3.0,0.05,3.0,8.99090909090909,0.025148109725734735,1.5819140256326674
7500,1000,5000,3.0,0.05,3.0,9.091818181818182,0.025149717650328758,1.582001751744061
7500,1000,5000,3.0,0.05,3.0,9.192727272727272,0.025151278854946814,1.58208814485517
7500,1000,5000,3.0,0.05,3.0,9.293636363636365,0.025152795129396405,1.58217323184017
7500,1000,5000,3.0,0.05,3.0,9.394545454545456,0.025154268180624266,1.5822570389663426
7500,1000,5000,3.0,0.05,3.0,9.495454545454544,0.025155699637244216,1.582339591907072
7500,1000,5000,3.0,0.05,3.0,9.596363636363636,0.025157091053779425,1.5824209157547595
